Manufacturer,Product Name,Sales URL,Price (10 oz),TDS PDF Link,Size,Type,Water Resistance,Application Temp,Service Temp,Skin Time,Working Time,Cure Time,Fast Grab,Odor,VOCs,Gap-Filling,Tensile Strength,Shear Strength,Flexibility,Movement,Expansion,UV-Resistant,Wood Safe,Polycarbonate Safe,XPS Safe,Sagging,Shrinkage,Shore Hardness
Liquid Nails,Paneling & Molding,https://www.homedepot.com/p/Liquid-Nails-10-oz-Paneling-and-Molding-Tan-Construction-Adhesive-LN-606/100165601,~$4.98,https://buyat.ppg.com/rep_pafpainttools_files/Liquid%20Nails%20US/TDB/LN-606.pdf,10 oz,Latex-Based,Waterproof,40°F to 100°F,0°F to 140°F,,20 min,24 hrs,Yes,Low,Low,,,240 psi,,,,,Yes,,Yes,"<0.10""",,
Loctite,PL 300 Foamboard,https://www.homedepot.com/p/Loctite-PL-300-Foamboard-10-oz-Latex-Construction-Adhesive-Blue-Cartridge-1421941/202020476,~$5.28,https://images.thdstatic.com/catalog/pdfImages/e1/e12ce74b-b338-470d-bcd9-254a223036eb.pdf,10 oz,Latex-Based,Water-Resistant,40°F to 100°F,0°F to 170°F,20 min,20 min,7 days,No,Low,Low,"Up to 1/4""",Not specified,,Low,,None,No,Yes,,Yes,,,
Loctite,PL Premium,https://www.homedepot.com/p/Loctite-PL-Premium-28-oz-Polyurethane-Construction-Adhesive-Tan-Cartridge-each-1390594/202020474,~$6.48,https://datasheets.tdx.henkel.com/LOCTITE-PL-Premium-Construction-Adhesive-en_US.pdf,10 oz,Polyurethane,Waterproof,40°F to 100°F,-20°F to 180°F,30 min,15 min,24 hrs,No,Moderate,Moderate,"Up to 3/8""",400 psi,,Low,,Minimal,Yes,Yes,No,Not recommended,,,
Loctite,PL Premium Max,https://www.homedepot.com/p/Loctite-PL-Premium-Max-9-oz-SMP-Construction-Adhesive-Grey-Cartridge-2292244/303890247,~$8.48,https://www.buildsite.com/pdf/pl/Loctite-PL-PREMIUM-MAX-Product-Data-2197656.pdf,9 oz,SMP (Silane-Modified Polymer),Waterproof,10°F to 120°F,-20°F to 300°F,20 min,20 min,24 hrs,No,Low,Low,"Up to 3/8""",Not specified,,Medium,,Minimal,Yes,Yes,,Not recommended,,,
Loctite,Power Grab Ultimate,https://www.homedepot.com/p/Loctite-Power-Grab-Ultimate-Instant-Grab-9-oz-SMP-Construction-Adhesive-White-Cartridge-1989550/206210490,~$9.98,https://datasheets.tdx.henkel.com/LOCTITE-Power-Grab-Ultimate-Construction-Adhesive-en_US.pdf,9 oz,SMP (Silane-Modified Polymer),Waterproof,40°F to 100°F,-40°F to 300°F,15 min,15 min,24 hrs,Yes,Low,Low,"Up to 1/4""",Not specified,,High,,None,Yes,Yes,Yes,Yes,,,
Sika,Sikaflex-221,,,https://industry.sika.com/dam/dms/us01/w/sikaflex-221.pdf,10 oz,1-component polyurethane,Excellent,41°F to 104°F,-58°F to 194°F,60 min,45 min,Varies by thickness,No,Low,Low,,260 psi,,High,±35%,Minimal,Yes,Yes,No,Yes,Minimal,5%,40
Sika,SikaHyflex-407,,,https://usa.sika.com/dam/dms/us01/e/sikahyflex_-407_everflashuniversal.pdf,,,,,,,,,,,,,,,,,,,,,,,,
Titebond,II,,,,,PVA (Polyvinyl Acetate),Waterproof,47°F and above,,3 min,5 min,15-? minutes,No,Low,Low,,,1750 psi @ 150F,Low,,None,,Yes,,Yes,,,
Titebond,III Ultimate Wood Glue,https://www.homedepot.com/p/Titebond-III-16-oz-Ultimate-Wood-Glue-1414/100522343,~$9.98,https://images.thdstatic.com/catalog/pdfImages/56/56a3b084-6590-4980-a636-44bb575d69a0.pdf,16 oz,PVA (Polyvinyl Acetate),Waterproof,47°F and above,,5 min,10 min,25-? minutes,No,Low,Moderate,,,800 psi @ 150F,Low,,None,,Yes,,Yes,,,
Tremco,Vulkem Grip Pro,https://www.menards.com/main/paint/adhesives-glue-tape/adhesive/construction-adhesives/liquid-nails-reg-fuzeit-reg-max-trade-all-purpose-construction-adhesive-9-oz/ln-3000/paint/adhesives-glue-tape/adhesive/construction-adhesives/tremco-reg-vulkem-reg-grip-pro-series-gray-hybrid-adhesive-10-1-oz/389250/p-1642874296841854-c-7921.htm,~$9.78,,10 oz,,,40°F to 104°F,,,14 min,,Yes,Low,Low,,,,,±35%,,,,,,,,
